기준일시,공급능력(MW),현재수요(MW),최대예측수요(MW),공급예비력(MW),공급예비율(%),운영예비력(MW),운영예비율(%)
20181001000000,84021.0,51840.6,56700.0,32180.4,62.0756,29743.4,57.3746
20181001000500,84021.0,51511.3,68700.0,32509.7,63.1117,30072.7,58.3807
20181001001000,84021.0,51316.1,68700.0,32704.9,63.7322,30267.9,58.9832
20181001001500,84021.0,51373.1,68700.0,32647.9,63.5506,30210.9,58.8069
20181001002000,84021.0,50737.1,68700.0,33283.9,65.6007,30846.9,60.7975
20181001002500,84021.0,50600.7,68700.0,33420.3,66.047,30983.3,61.2309
20181001003000,84021.0,50708.5,68700.0,33312.5,65.6941,30875.5,60.8882
20181001003500,84021.0,50646.7,68700.0,33374.3,65.8963,30937.3,61.0845
20181001004000,84021.0,50254.4,68700.0,33766.6,67.1914,31329.6,62.3421
20181001004500,84021.0,50078.8,68700.0,33942.2,67.7776,31505.2,62.9113
20181001005000,84021.0,50272.5,68700.0,33748.5,67.1312,31311.5,62.2836
20181001005500,84021.0,50101.0,68700.0,33920.0,67.7033,31483.0,62.8391
20181001010000,84021.0,50137.6,68700.0,33883.4,67.5808,31446.4,62.7202
20181001010500,84021.0,49913.5,68700.0,34107.5,68.3331,31670.5,63.4506
20181001011000,84021.0,49975.1,68700.0,34045.9,68.1257,31608.9,63.2492
20181001011500,84021.0,49696.4,68700.0,34324.6,69.0685,31887.6,64.1647
20181001012000,84021.0,49679.4,68700.0,34341.6,69.1266,31904.6,64.2211
20181001012500,84021.0,49715.1,68700.0,34305.9,69.0048,31868.9,64.1029
20181001013000,84021.0,49983.3,68700.0,34037.7,68.0983,31600.7,63.2227
20181001013500,84021.0,49848.8,68700.0,34172.2,68.5518,31735.2,63.663
20181001014000,84021.0,49991.3,68700.0,34029.7,68.0714,31592.7,63.1965
20181001014500,84021.0,49936.8,68700.0,34084.2,68.2546,31647.2,63.3745
20181001015000,84021.0,49955.1,68700.0,34065.9,68.193,31628.9,63.3146
20181001015500,84021.0,50143.2,68700.0,33877.8,67.562,31440.8,62.7019
20181001020000,84021.0,50104.0,68700.0,33917.0,67.6932,31480.0,62.8293
20181001020500,84021.0,50109.8,68700.0,33911.2,67.6737,31474.2,62.8104
